phrase_text,group_size,confidence_score,word_count,status,needs_correction,correction_suggestion,final_correction,correction_source,source_documents,unique_companies,total_instances,best_phrase_id,best_file_name,context,created_at,updated_at
การเช่าและการดําเนินการเกียวกับอสังหาริมทรัพย์ที เป็นของ ตนเองหรือเช่าจากผู้ อืนทีไม่ใช่เพือเป ็นทีพักอาศัย,4,,5,reviewed,True,,,needs_manual_review,บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,2267,,"Row 10, Col 1: ( ล่าสุด ) การเช่าและการดําเนินการเกียวกับอสังหาริ...",2025-11-25 19:11:05,2025-11-25 19:26:00
กิจกรรมการบริการอืนๆทีสนับสนุนการขนส่งทาง บก ซึงมิได จัดประเภทไว ในทีอืน,4,,5,reviewed,True,,,needs_manual_review,บริษัท ภัทรมารีน จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,1742,,"Row 8, Col 1: ( ล่าสุด ) 1. กิจกรรมการบริการอืนๆทีสนับสนุนการขนส...",2025-11-25 19:11:05,2025-11-25 19:26:00
กิจการรับจ างประกอบและผลิตเครืองจักร เครืองยนต์ ยาน พาหนะ รถพ่วง,4,,6,reviewed,True,,,needs_manual_review,บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,980,,"Row 10, Col 1: ( ล่าสุด ) กิจการรับจ างประกอบและผลิตเครืองจักร เค...",2025-11-25 19:11:05,2025-11-25 19:26:00
ทีเก็บกักนําและภาชนะบรรจุทีทํา จากโลหะ ซึงมิได จัดประเภท ไว ในทีอืน,4,,6,reviewed,True,,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,4,2517,,"Row 8, Col 1: ( ล่าสุด ) 1. การผลิตถังนําขนาดใหญ่ ( ทีมีความจุเก...",2025-11-25 19:11:05,2025-11-25 19:26:00
39/4 ซอยบางนา - ตราด 25 ถนนบางนาตราด แขวงบางนา เขตบางนา จังหวัดกรุงเทพมหานคร 10260,3,,10,reviewed,True,,,needs_manual_review,บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,3,647,,"Row 6, Col 1: 39/4 ซอยบางนา - ตราด 25 ถนนบางนาตราด แขวงบางนา เขต...",2025-11-25 19:11:05,2025-11-25 19:26:00
58/8 หมู่ 11 ตําบลหลักสาม อําเภอบ านแพ้ว จังหวัด สมุทรสาคร 74110,3,,9,reviewed,True,,,needs_manual_review,บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,3,970,,"Row 6, Col 1: 58/8 หมู่ 11 ตําบลหลักสาม อําเภอบ านแพ้ว จังหวัด ส...",2025-11-25 19:11:05,2025-11-25 19:26:00
81/41-42 หมู่ 3 ตําบลบางเดือ อําเภอเมืองปทุมธานี จังหวัด ปทุมธานี 12000,3,,8,reviewed,True,,,needs_manual_review,ใบตาล เทอร์บายน์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,3,1218,,"Row 5, Col 1: 81/41-42 หมู่ 3 ตําบลบางเดือ อําเภอเมืองปทุมธานี จ...",2025-11-25 19:11:05,2025-11-25 19:26:00
18/125 ถนนร่มเกล า แขวงคลองสามประเวศ เขตลาดกระบัง จังหวัดกรุงเทพมหานคร 10520,2,,7,reviewed,True,,,needs_manual_review,บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,2078,,"Row 5, Col 1: 18/125 ถนนร่มเกล า แขวงคลองสามประเวศ เขตลาดกระบัง ...",2025-11-25 19:11:05,2025-11-25 19:26:00
32/747-748 ถนนประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ จังหวัด กรุงเทพมหานคร 10140,2,,7,reviewed,True,,,needs_manual_review,บริษัท ภัทรมารีน จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,1736,,"Row 5, Col 1: 32/747-748 ถนนประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ จั...",2025-11-25 19:11:05,2025-11-25 19:26:00
339 หมู่ 1 ถนนสุรนารายณ์ ตําบลบ านเกาะ อําเภอเมือง นครราชสีมา จังหวัดนครราชสีมา 30000,2,,10,reviewed,True,,,needs_manual_review,บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,2257,,"Row 6, Col 1: 339 หมู่ 1 ถนนสุรนารายณ์ ตําบลบ านเกาะ อําเภอเมือง...",2025-11-25 19:11:05,2025-11-25 19:26:00
5/7 หมู่ 2 ตําบลคลองเจ็ด อําเภอคลองหลวง จังหวัดปทุมธานี 12120,2,,7,reviewed,True,,,needs_manual_review,บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,2923,,"Row 6, Col 1: 5/7 หมู่ 2 ตําบลคลองเจ็ด อําเภอคลองหลวง จังหวัดปทุ...",2025-11-25 19:11:05,2025-11-25 19:26:00
จํานวนหุ ้น - ทีออกและเรียกชําระแล ว,2,,5,reviewed,True,จำนวนหุ้น - ที่ออกและเรียกชำระแล้ว,จำนวนหุ้น - ที่ออกและเรียกชำระแล้ว,dictionary_character_fix,บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,2,2148,,"Row 16, Col 0: จํานวนหุ ้น - ทีออกและเรียกชําระแล ว...",2025-11-25 19:11:05,2025-11-25 19:26:00
นายแสงชัย โชติช่วงชัชวาล นายปเนต จงวัฒนา นายสุเมธ เจียมบุตร นางสาววรรณพร ตฤณวิสุทธิกุล นายพิทักษ์ ชมชืน กรรมการสองในห้าคนนีลงลายมือชือร่วมกัน,2,,11,reviewed,True,,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,2526,,"Row 10, Col 1: นายแสงชัย โชติช่วงชัชวาล นายปเนต จงวัฒนา นายสุเมธ ...",2025-11-25 19:11:05,2025-11-25 19:26:00
บมจ,2,,1,reviewed,True,,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Related.pdf,Uncategorized; ไม่ระบุบริษัท,2,2763,,"Row 6, Col 1: พัฒน์กล ( บมจ .)...",2025-11-25 19:11:05,2025-11-25 19:26:00
ประกอบกิจการรับเหมาก่อสร ้างอาคาร อาคาร พาณิชย์ อาคารทีพักอาศัย สถานทีทําการ ถนน สะพาน เขือน อุโมงค์ และงานก่อสร้ างอย่างอืนทุกชนิด รวมทังรับ ทํางานโยธาทุกประเภท,2,,14,reviewed,True,,,needs_manual_review,ใบตาล เทอร์บายน์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,1228,,"Row 9, Col 1: ( ล่าสุด ) ประกอบกิจการรับเหมาก่อสร ้างอาคาร อาคาร...",2025-11-25 19:11:05,2025-11-25 19:26:00
ภาษีเงินได เกียวกับรายการทีต องไม่จัดประเภทรายการใหม่เข าไปไว้ ในกําไรหรือ ขาดทุนในภายหลัง,2,,6,reviewed,True,,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Others.pdf,Uncategorized; ไม่ระบุบริษัท,2,2679,,"Row 18, Col 0: ภาษีเงินได เกียวกับรายการทีต องไม่จัดประเภทรายการใ...",2025-11-25 19:11:05,2025-11-25 19:26:00
มูลค่าของงานส่วนทีเสร็จแต่ยังไม่ถึงกําหนดเรียกชําระเงิน - หมุนเวียน,2,,3,reviewed,True,,,needs_manual_review,บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_BS67.pdf,Uncategorized; ไม่ระบุบริษัท,2,1904,,"Row 4, Col 0: มูลค่าของงานส่วนทีเสร็จแต่ยังไม่ถึงกําหนดเรียกชําร...",2025-11-25 19:11:05,2025-11-25 19:26:00
รวมรายการทีจะไม่ถูกจัดประเภทรายการใหม่เข้าไปไว้ในกําไรหรือขาดทุนใน ภายหลัง - สุทธิจากภาษี,2,,4,reviewed,True,,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Others.pdf,Uncategorized; ไม่ระบุบริษัท,2,2680,,"Row 19, Col 0: รวมรายการทีจะไม่ถูกจัดประเภทรายการใหม่เข้าไปไว้ในก...",2025-11-25 19:11:05,2025-11-25 19:26:00
รวมหนิสินและส่วนของผู้ถือหุ้น,2,,1,reviewed,True,รวมหนีสินและส่วนของผู้ถือหุ้น,รวมหนีสินและส่วนของผู้ถือหุ้น,dictionary_character_fix,บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,2,2142,,"Row 12, Col 0: รวมหนิสินและส่วนของผู้ถือหุ้น...",2025-11-25 19:11:05,2025-11-25 19:26:00
รายการทีจะไม่ถูกจัดประเภทรายการใหม่เข้าไปไว้ในกําไรหรือขาดทุนในภาย หลัง,2,,2,reviewed,True,,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Others.pdf,Uncategorized; ไม่ระบุบริษัท,2,2675,,"Row 16, Col 0: รายการทีจะไม่ถูกจัดประเภทรายการใหม่เข้าไปไว้ในกําไ...",2025-11-25 19:11:05,2025-11-25 19:26:00
เอส,2,,1,reviewed,True,,,needs_manual_review,บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Shareholders.pdf,Uncategorized; ไม่ระบุบริษัท,2,1060,,"Row 0, Col 1: บริษัท เอ . เจ . เอส . โฮลดิง จํากัด...",2025-11-25 19:11:05,2025-11-25 19:26:00
